#=====================================================
# File created:        Thu-29-Feb-2024-at-10-34-00AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        6.249459
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2520.3977  0.2662 
   00001    0.6620   -3778.1613  0.2758 
   00002    0.6160   -4519.8149  0.2937 
   00003    0.5920   -5189.5549  0.3015 
   00004    0.5588   -5534.7279  0.3022 
   00005    0.5260   -5878.0199  0.3084 
   00006    0.5208   -6208.9869  0.3135 
   00007    0.4988   -6465.4522  0.3201 
   00008    0.4904   -6678.7502  0.3273 
   00009    0.4752   -6791.7817  0.3309 
   00010    0.4764   -6911.5539  0.3345 
   00011    0.4704   -7021.5379  0.3401 
   00012    0.4580   -7125.7411  0.3393 
   00013    0.4628   -7191.8463  0.3455 
   00014    0.4520   -7315.3644  0.3492 
   00015    0.4596   -7387.4276  0.3560 
   00016    0.4464   -7442.5487  0.3591 
   00017    0.4452   -7509.4213  0.3659 
   00018    0.4504   -7525.7902  0.3699 
   00019    0.4360   -7605.5298  0.3725 
   00020    0.4356   -7692.3643  0.3760 
   00021    0.4380   -7710.2650  0.3878 
   00022    0.4476   -7736.6708  0.3932 
   00023    0.4444   -7706.4369  0.3950 
   00024    0.4476   -7795.5202  0.4027 
   00025    0.4456   -7796.6177  0.4031 
   00026    0.4368   -7824.4330  0.4027 
   00027    0.4320   -7876.1489  0.4109 
   00028    0.4312   -7939.6189  0.4159 
   00029    0.4408   -7910.5964  0.4250 
   00030    0.4144   -7944.9698  0.4272 
   00031    0.4264   -7978.2686  0.4317 
   00032    0.4364   -7980.1385  0.4295 
   00033    0.4244   -7992.1339  0.4290 
   00034    0.4388   -8000.3221  0.4304 
   00035    0.4328   -8015.8307  0.4303 
   00036    0.4444   -8084.3534  0.4362 
   00037    0.4356   -8085.5549  0.4469 
   00038    0.4152   -8054.3996  0.4417 
   00039    0.4164   -8056.9773  0.4488 
   00040    0.4316   -8057.7542  0.4550 
   00041    0.4184   -8044.9514  0.4570 
   00042    0.4164   -8090.7539  0.4538 
   00043    0.4428   -8086.0326  0.4671 
   00044    0.4196   -8143.9896  0.4698 
   00045    0.4268   -8147.5739  0.4753 
   00046    0.4108   -8173.5554  0.4722 
   00047    0.4312   -8172.7999  0.4817 
   00048    0.4340   -8166.5530  0.4792 
   00049    0.4284   -8212.9599  0.4914 
   00050    0.4188   -8190.6164  0.4877 
