Iteration Number,Original,numpy_vectorised,numpy_vec_sequential,cython,cython_w_sequential,Original_w_optimisation_flag,numba,numba_numpy_sequential,numba_and_numpy,numba_omp,numba_omp_sequential
50,3.130508,2.197961,1.443362,1.830503,1.863775,0.589,0.467997,0.246557,0.468032,0.486781,0.270392
100,6.131434,5.705087,2.999371,3.746514,3.668376,0.572,0.947268,0.500594,0.944249,1.049677,0.530407
200,12.22541,10.682665,6.56398,7.571965,7.452022,0.571,1.904104,1.027641,1.898687,2.036396,1.131795
300,18.803782,15.332239,9.308882,11.14943,11.74396,0.567,3.132977,1.687762,2.903425,3.349459,1.588544
400,25.251567,19.876336,12.782168,14.90208,15.19426,0.569,3.78568,2.025165,3.730981,3.980253,2.145516
500,31.127504,23.859736,14.30624,18.97688,18.64967,0.561,5.057019,2.601121,4.98058,5.017308,2.746521
600,36.775282,28.34889,17.589095,22.697512,23.14591,0.593,5.733836,3.123019,5.636169,6.09948,3.20919
700,43.570396,32.826684,20.300337,26.07704,25.914207,0.56,6.933632,3.52908,7.30013,6.7301,3.683644
800,48.851926,36.866841,23.295044,29.696756,30.103099,0.583,7.665822,4.229863,7.926355,7.838548,4.327845
900,56.001403,41.463742,26.000124,33.55273,33.75986,0.567,8.773892,4.589784,8.960344,8.740293,4.941642
1000,62.380564,45.605795,28.866055,37.4205,37.299781,0.56,9.590313,5.305397,9.568583,9.853522,5.280622
