LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.491, Time: 6.249459 s
         1423215 function calls (1408898 primitive calls) in 7.553 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(all)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(any)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(atleast_2d)
      160    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(column_stack)
      222    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(concatenate)
       85    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(copyto)
       51    0.000    0.000    0.016    0.000 <__array_function__ internals>:177(eig)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(empty_like)
       30    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(linspace)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
      100    0.000    0.000    0.004    0.000 <__array_function__ internals>:177(prod)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
       51    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(vstack)
       51    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(zeros_like)
      708    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
    351/3    0.003    0.000    1.220    0.407 <frozen importlib._bootstrap>:1022(_find_and_load)
        6    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
   445/55    0.002    0.000    1.036    0.019 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      708    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      351    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
      351    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
      708    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      352    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      357    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    493/4    0.001    0.000    1.212    0.303 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     3396    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      346    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
      614    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:391(cached)
      709    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      333    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      333    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      333    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    333/4    0.003    0.000    1.213    0.303 <frozen importlib._bootstrap>:664(_load_unlocked)
      352    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      341    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
     1370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      343    0.005    0.000    0.202    0.001 <frozen importlib._bootstrap>:921(_find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    347/3    0.002    0.000    1.220    0.407 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      284    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      284    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
       46    0.000    0.000    0.023    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
    46/36    0.000    0.000    0.042    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1226(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_get_parent_path)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1240(_recalculate)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1254(__iter__)
     3157    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3157    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      568    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1136    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      690    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
  342/341    0.003    0.000    0.191    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
     1401    0.002    0.000    0.156    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      341    0.001    0.000    0.192    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      479    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      330    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      603    0.011    0.000    0.183    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      443    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
